 0 100.000000% ----------- ----------- ----------- ----------- -----------
 1  83.870968%  16.129032% ----------- ----------- ----------- -----------
 2  69.892473%  27.956989%   2.150538% ----------- ----------- -----------
 3  57.842047%  36.151279%   5.784205%   0.222469% ----------- -----------
 4  47.513110%  41.315748%  10.328937%   0.826315%   0.015891% -----------
 5  38.714386%  43.993620%  15.302129%   1.912766%   0.076511%   0.000589% 1
 6  31.269312%  44.670445%  20.304748%   3.531260%   0.220704%   0.003531% 6
 7  25.015449%  43.777036%  25.015449%   5.685329%   0.494376%   0.012359% 21
 8  19.803897%  41.692415%  29.184691%   8.338483%   0.947555%   0.032958% 56
 9  15.498702%  38.746756%  32.628847%  11.420096%   1.631442%   0.074156% 126
10  11.976270%  35.224323%  35.224323%  14.831294%   2.595476%   0.148313% 252
11   9.124777%  31.366421%  36.901672%  18.450836%   3.884387%   0.271907% 462
12   6.843583%  27.374331%  37.639705%  22.141003%   5.535251%   0.466126% 792
13   5.042640%  23.412257%  37.459611%  25.753483%   7.574554%   0.757455% 1287
14   3.641907%  19.610267%  36.419066%  29.135253%  10.015243%   1.178264% 2002
15   2.570758%  16.067235%  34.606353%  32.134470%  12.853788%   1.767396% 3003
16   1.767396%  12.853788%  32.134470%  34.606353%  16.067235%   2.570758% 4368
17   1.178264%  10.015243%  29.135253%  36.419066%  19.610267%   3.641907% 6188
18   0.757455%   7.574554%  25.753483%  37.459611%  23.412257%   5.042640% 8568
19   0.466126%   5.535251%  22.141003%  37.639705%  27.374331%   6.843583% 11628
20   0.271907%   3.884387%  18.450836%  36.901672%  31.366421%   9.124777% 15504
21   0.148313%   2.595476%  14.831294%  35.224323%  35.224323%  11.976270% 20349
22   0.074156%   1.631442%  11.420096%  32.628847%  38.746756%  15.498702% 26334
23   0.032958%   0.947555%   8.338483%  29.184691%  41.692415%  19.803897% 33649
24   0.012359%   0.494376%   5.685329%  25.015449%  43.777036%  25.015449% 42504
25   0.003531%   0.220704%   3.531260%  20.304748%  44.670445%  31.269312% 53130
26   0.000589%   0.076511%   1.912766%  15.302129%  43.993620%  38.714386% 65780
27 -----------   0.015891%   0.826315%  10.328937%  41.315748%  47.513110% 80730
28 ----------- -----------   0.222469%   5.784205%  36.151279%  57.842047% 98280
29 ----------- ----------- -----------   2.150538%  27.956989%  69.892473% 118755
30 ----------- ----------- ----------- -----------  16.129032%  83.870968% 142506
31 ----------- ----------- ----------- ----------- ----------- 100.000000% 169911

 0 100.000000% ----------- ----------- ----------- ----------- ----------- -----------
 1  86.046512%  13.953488% ----------- ----------- ----------- ----------- -----------
 2  73.754153%  24.584718%   1.661130% ----------- ----------- ----------- -----------
 3  62.960862%  32.379872%   4.497204%   0.162061% ----------- ----------- -----------
 4  53.516733%  37.776517%   8.094968%   0.599627%   0.012155% ----------- -----------
 5  45.283389%  41.166718%  12.107858%   1.383755%   0.057656%   0.000623% -----------
 6  38.133380%  42.900053%  16.250020%   2.549023%   0.163866%   0.003641%   0.000016% 1
 7  31.949589%  43.286540%  20.290566%   4.099104%   0.361686%   0.012401%   0.000115% 7
 8  26.624658%  42.599452%  24.048078%   6.012019%   0.683184%   0.032150%   0.000459% 28
 9  22.060431%  41.078043%  27.385362%   8.245055%   1.159461%   0.070270%   0.001378% 84
10  18.167413%  38.930172%  30.204443%  10.739358%   1.818762%   0.136407%   0.003445% 210
11  14.864247%  36.334827%  32.441810%  13.424197%   2.684839%   0.242502%   0.007578% 462
12  12.077201%  33.444556%  34.063900%  16.220905%   3.775555%   0.402726%   0.015156% 924
13   9.739678%  30.387796%  35.062841%  19.046482%   5.101736%   0.633319%   0.028148% 1716
14   7.791743%  27.271099%  35.452429%  21.816879%   6.666269%   0.952324%   0.049258% 3003
15   6.179658%  24.181270%  35.264352%  24.449951%   8.463444%   1.379228%   0.082097% 5005
16   4.855445%  21.187398%  34.544671%  26.868078%  10.478550%   1.934502%   0.131355% 8008
17   3.776458%  18.342794%  33.350535%  29.000465%  12.687703%   2.639042%   0.203003% 12376
18   2.904967%  15.686824%  31.747144%  30.785109%  15.057934%   3.513518%   0.304505% 18564
19   2.207775%  13.246651%  29.804965%  32.170439%  17.547512%   4.577612%   0.445046% 27132
20   1.655831%  11.038876%  27.597190%  33.116628%  20.106524%   5.849171%   0.635779% 38760
21   1.223875%   9.071076%  25.197434%  33.596579%  22.677691%   7.343252%   0.890091% 54264
22   0.890091%   7.343252%  22.677691%  33.596579%  25.197434%   9.071076%   1.223875% 74613
23   0.635779%   5.849171%  20.106524%  33.116628%  27.597190%  11.038876%   1.655831% 100947
24   0.445046%   4.577612%  17.547512%  32.170439%  29.804965%  13.246651%   2.207775% 134596
25   0.304505%   3.513518%  15.057934%  30.785109%  31.747144%  15.686824%   2.904967% 177100
26   0.203003%   2.639042%  12.687703%  29.000465%  33.350535%  18.342794%   3.776458% 230230
27   0.131355%   1.934502%  10.478550%  26.868078%  34.544671%  21.187398%   4.855445% 296010
28   0.082097%   1.379228%   8.463444%  24.449951%  35.264352%  24.181270%   6.179658% 376740
29   0.049258%   0.952324%   6.666269%  21.816879%  35.452429%  27.271099%   7.791743% 475020
30   0.028148%   0.633319%   5.101736%  19.046482%  35.062841%  30.387796%   9.739678% 593775
31   0.015156%   0.402726%   3.775555%  16.220905%  34.063900%  33.444556%  12.077201% 736281
32   0.007578%   0.242502%   2.684839%  13.424197%  32.441810%  36.334827%  14.864247% 906192
33   0.003445%   0.136407%   1.818762%  10.739358%  30.204443%  38.930172%  18.167413% 1107568
34   0.001378%   0.070270%   1.159461%   8.245055%  27.385362%  41.078043%  22.060431% 1344904
35   0.000459%   0.032150%   0.683184%   6.012019%  24.048078%  42.599452%  26.624658% 1623160
36   0.000115%   0.012401%   0.361686%   4.099104%  20.290566%  43.286540%  31.949589% 1947792
37   0.000016%   0.003641%   0.163866%   2.549023%  16.250020%  42.900053%  38.133380% 2324784
38 -----------   0.000623%   0.057656%   1.383755%  12.107858%  41.166718%  45.283389% 2760681
39 ----------- -----------   0.012155%   0.599627%   8.094968%  37.776517%  53.516733% 3262623
40 ----------- ----------- -----------   0.162061%   4.497204%  32.379872%  62.960862% 3838380
41 ----------- ----------- ----------- -----------   1.661130%  24.584718%  73.754153% 4496388
42 ----------- ----------- ----------- ----------- -----------  13.953488%  86.046512% 5245786
43 ----------- ----------- ----------- ----------- ----------- ----------- 100.000000% 6096454
